site,wafer,time_dep,geh4,b2h6,XCoord,YCoord,GAMMA,THICK_SIGE,CONC_BORE,DOSE_BORE,sigeb_th,sigeb_conc,dose,SiGe25p free carriers gamma,SiGe25p free carriers doping,model_quality
11,6,350,820,150,-44.4,-118.4,1026.6694,135.5508,102.6669,13.9166,135.5508,102.6669,13.9166,1026.6694,293.6286,0.008
12,6,350,820,150,-103.601,-74,1044.5675,135.6537,104.4567,14.1699,135.6537,104.4567,14.1699,1044.5675,299.7883,0.0096
13,6,350,820,150,-118.4,0.001,1016.7437,116.7579,101.6744,11.8713,116.7579,101.6744,11.8713,1016.7437,347.7873,0.0073
14,6,350,820,150,-103.598,74.001,1043.826,139.3021,104.3826,14.5407,139.3021,104.3826,14.5407,1043.826,292.2158,0.0077
15,6,350,820,150,-44.4,118.4,1042.925,141.859,104.2925,14.7948,141.859,104.2925,14.7948,1042.925,290.3291,0.0095
16,6,350,820,150,44.401,118.4,1032.2683,132.91,103.2268,13.7199,132.91,103.2268,13.7199,1032.2683,306.5731,0.0081
17,6,350,820,150,103.601,74,1072.3485,156.039,107.2349,16.7328,156.039,107.2349,16.7328,1072.3485,261.7688,0.0106
1,7,425,690,150,0,-0.001,1139.9686,123.1208,113.9969,14.0354,123.1208,113.9969,14.0354,1139.9686,333.6,0.0064
2,7,425,690,150,74,-14.8,1134.7286,143.0049,113.4729,16.2272,143.0049,113.4729,16.2272,1134.7286,279.5648,0.0071
3,7,425,690,150,29.6,-74.001,1118.854,124.5106,111.8854,13.9309,124.5106,111.8854,13.9309,1118.854,317.8181,0.0059
4,7,425,690,150,-44.402,-59.199,1177.7003,172.041,117.77,20.2613,172.041,117.77,20.2613,1177.7003,234.195,0.009
5,7,425,690,150,-74.001,14.802,1148.4651,119.9049,114.8465,13.7707,119.9049,114.8465,13.7707,1148.4651,340.2529,0.0068
6,7,425,690,150,-29.6,73.999,1167.1372,144.0397,116.7137,16.8114,144.0397,116.7137,16.8114,1167.1372,284.5324,0.0073
7,7,425,690,150,44.4,59.2,1156.9921,128.1438,115.6992,14.8261,128.1438,115.6992,14.8261,1156.9921,319.0108,0.0073
8,7,425,690,150,118.4,-0.002,1176.5168,147.7013,117.6517,17.3773,147.7013,117.6517,17.3773,1176.5168,267.9968,0.0094
9,7,425,690,150,103.599,-74.001,1155.1473,136.2332,115.5147,15.7369,136.2332,115.5147,15.7369,1155.1473,282.0941,0.0085
10,7,425,690,150,44.398,-118.402,1161.446,135.3569,116.1446,15.721,135.3569,116.1446,15.721,1161.446,285.5377,0.0095
11,7,425,690,150,-44.401,-118.4,1150.6721,151.5359,115.0672,17.4368,151.5359,115.0672,17.4368,1150.6721,252.7599,0.0089
12,7,425,690,150,-103.601,-74,1134.3208,115.6318,113.4321,13.1164,115.6318,113.4321,13.1164,1134.3208,336.1958,0.0074
13,7,425,690,150,-118.4,0.001,1146.0645,126.7663,114.6064,14.5282,126.7663,114.6064,14.5282,1146.0645,312.782,0.0081
14,7,425,690,150,-103.599,74,1161.9893,173.0368,116.1989,20.1067,173.0368,116.1989,20.1067,1161.9893,230.2462,0.0094
15,7,425,690,150,-44.4,118.4,1123.3571,117.7319,112.3357,13.2255,117.7319,112.3357,13.2255,1123.3571,338.3218,0.0064
16,7,425,690,150,44.401,118.4,1160.8114,148.623,116.0811,17.2523,148.623,116.0811,17.2523,1160.8114,268.2859,0.0086
17,7,425,690,150,103.601,74,1118.2275,108.3438,111.8227,12.1153,108.3438,111.8227,12.1153,1118.2275,359.3965,0.006
1,8,425,690,150,0,-0.001,1157.6516,131.3165,115.7652,15.2019,131.3165,115.7652,15.2019,1157.6516,314.8207,0.006
2,8,425,690,150,74,-14.801,1107.1106,134.9486,110.7111,14.9403,134.9486,110.7111,14.9403,1107.1106,294.2646,0.006
3,8,425,690,150,29.599,-74.001,1135.3351,128.832,113.5335,14.6267,128.832,113.5335,14.6267,1135.3351,309.9772,0.0067
4,8,425,690,150,-44.4,-59.199,1120.0377,118.227,112.0038,13.2419,118.227,112.0038,13.2419,1120.0377,338.45,0.0058
5,8,425,690,150,-74.002,14.801,1179.2781,149.6723,117.9278,17.6505,149.6723,117.9278,17.6505,1179.2781,275.618,0.0092
6,8,425,690,150,-29.598,74,1119.655,125.3812,111.9655,14.0384,125.3812,111.9655,14.0384,1119.655,323.7866,0.0063
7,8,425,690,150,44.4,59.2,1155.7062,133.2421,115.5706,15.3989,133.2421,115.5706,15.3989,1155.7062,308.0564,0.0072
8,8,425,690,150,118.4,-0.002,1154.4113,121.1354,115.4411,13.984,121.1354,115.4411,13.984,1154.4113,325.6235,0.0076
9,8,425,690,150,103.601,-74.002,1151.8226,139.1282,115.1823,16.0251,139.1282,115.1823,16.0251,1151.8226,276.7519,0.0083
10,8,425,690,150,44.399,-118.4,1117.2654,118.6821,111.7265,13.2599,118.6821,111.7265,13.2599,1117.2654,323.0569,0.0071
11,8,425,690,150,-44.4,-118.4,1087.4218,128.832,108.7422,14.0095,128.832,108.7422,14.0095,1087.4218,295.9807,0.0056
12,8,425,690,150,-103.6,-74,1162.0498,131.9962,116.205,15.3386,131.9962,116.205,15.3386,1162.0498,297.6368,0.0079
13,8,425,690,150,-118.4,0,1150.3326,138.4217,115.0333,15.9231,138.4217,115.0333,15.9231,1150.3326,287.6591,0.0073
14,8,425,690,150,-103.599,74,1129.1129,133.5416,112.9113,15.0784,133.5416,112.9113,15.0784,1129.1129,297.6233,0.007
15,8,425,690,150,-44.4,118.4,1133.5565,131.5212,113.3557,14.9087,131.5212,113.3557,14.9087,1133.5565,303.6555,0.0073
16,8,425,690,150,44.401,118.4,1126.9139,128.71,112.6914,14.5045,128.71,112.6914,14.5045,1126.9139,305.3612,0.0066
17,8,425,690,150,103.6,74,1148.5432,135.9828,114.8543,15.6182,135.9828,114.8543,15.6182,1148.5432,289.6769,0.0071
1,9,500,560,150,0,-0.002,1398.2841,119.2919,139.8284,16.6804,119.2919,139.8284,16.6804,1398.2841,333.7281,0.0049
2,9,500,560,150,74.001,-14.8,1381.7664,132.0324,138.1766,18.2438,132.0324,138.1766,18.2438,1381.7664,291.6813,0.0054
3,9,500,560,150,29.599,-74.001,1372.9491,121.8222,137.2949,16.7256,121.8222,137.2949,16.7256,1372.9491,312.6319,0.0045
4,9,500,560,150,-44.4,-59.198,1412.8303,126.2842,141.283,17.8418,126.2842,141.283,17.8418,1412.8303,307.8591,0.0057
5,9,500,560,150,-74.002,14.801,1440.0875,129.6621,144.0088,18.6725,129.6621,144.0088,18.6725,1440.0875,307.3572,0.0067
6,9,500,560,150,-29.599,74.001,1381.9885,122.263,138.1989,16.8966,122.263,138.1989,16.8966,1381.9885,320.9442,0.0056
7,9,500,560,150,44.4,59.201,1415.1222,127.5906,141.5122,18.0556,127.5906,141.5122,18.0556,1415.1222,310.9431,0.0047
8,9,500,560,150,118.4,-0.001,1437.807,136.5523,143.7807,19.6336,136.5523,143.7807,19.6336,1437.807,283.1598,0.0072
9,9,500,560,150,103.6,-74.001,1402.5479,131.1021,140.2548,18.3877,131.1021,140.2548,18.3877,1402.5479,285.1945,0.006
10,9,500,560,150,44.399,-118.402,1421.7739,126.5238,142.1774,17.9888,126.5238,142.1774,17.9888,1421.7739,296.0705,0.0057
11,9,500,560,150,-44.402,-118.4,1390.0883,139.7046,139.0088,19.4202,139.7046,139.0088,19.4202,1390.0883,264.9912,0.0065
12,9,500,560,150,-103.601,-74,1420.3638,126.3209,142.0364,17.9422,126.3209,142.0364,17.9422,1420.3638,299.4482,0.0067
13,9,500,560,150,-118.401,0,1412.4456,123.5645,141.2446,17.4528,123.5645,141.2446,17.4528,1412.4456,310.8511,0.0061
14,9,500,560,150,-103.601,73.999,1348.3495,119.8113,134.8349,16.1547,119.8113,134.8349,16.1547,1348.3495,317.4254,0.0045
15,9,500,560,150,-44.4,118.4,1373.5247,117.95,137.3525,16.2007,117.95,137.3525,16.2007,1373.5247,326.0612,0.0057
16,9,500,560,150,44.4,118.4,1365.3591,111.5789,136.5359,15.2345,111.5789,136.5359,15.2345,1365.3591,341.6983,0.0054
17,9,500,560,150,103.601,74,1409.9067,124.4067,140.9907,17.5402,124.4067,140.9907,17.5402,1409.9067,310.086,0.0071
1,10,500,820,150,0,0,934.3936,203.8473,93.4394,19.0474,203.8473,93.4394,19.0474,934.3936,302.392,0.0043
2,10,500,820,150,74,-14.801,911.2024,197.9812,91.1202,18.0401,197.9812,91.1202,18.0401,911.2024,303.6357,0.0036
3,10,500,820,150,29.6,-74.001,905.6408,188.4489,90.5641,17.0667,188.4489,90.5641,17.0667,905.6408,316.9743,0.0027
4,10,500,820,150,-44.401,-59.199,924.2469,191.4788,92.4247,17.6974,191.4788,92.4247,17.6974,924.2469,314.4996,0.0038
5,10,500,820,150,-74.002,14.801,937.0928,188.0172,93.7093,17.619,188.0172,93.7093,17.619,937.0928,324.6773,0.004
6,10,500,820,150,-29.599,73.998,926.4006,194.7829,92.6401,18.0447,194.7829,92.6401,18.0447,926.4006,313.6027,0.0036
7,10,500,820,150,44.401,59.2,915.2459,186.4029,91.5246,17.0604,186.4029,91.5246,17.0604,915.2459,327.4021,0.0032
8,10,500,820,150,118.4,0,935.3946,198.4357,93.5395,18.5616,198.4357,93.5395,18.5616,935.3946,299.1221,0.0046
9,10,500,820,150,103.599,-74.001,922.5721,188.9889,92.2572,17.4356,188.9889,92.2572,17.4356,922.5721,307.8723,0.004
10,10,500,820,150,44.399,-118.4,922.1081,179.5398,92.2108,16.5555,179.5398,92.2108,16.5555,922.1081,322.9603,0.0037
11,10,500,820,150,-44.401,-118.401,915.8755,192.1954,91.5875,17.6027,192.1954,91.5875,17.6027,915.8755,299.7164,0.0039
12,10,500,820,150,-103.6,-74.002,924.4468,175.3309,92.4447,16.2084,175.3309,92.4447,16.2084,924.4468,330.6322,0.0038
13,10,500,820,150,-118.402,0,921.4701,183.2796,92.147,16.8887,183.2796,92.147,16.8887,921.4701,321.3475,0.0037
14,10,500,820,150,-103.598,73.999,922.6891,191.2822,92.2689,17.6494,191.2822,92.2689,17.6494,922.6891,307.1461,0.0041
15,10,500,820,150,-44.4,118.4,913.4069,173.6426,91.3407,15.8606,173.6426,91.3407,15.8606,913.4069,341.7005,0.0036
16,10,500,820,150,44.4,118.4,905.8611,175.2945,90.5861,15.8793,175.2945,90.5861,15.8793,905.8611,338.8118,0.0031
17,10,500,820,150,103.601,74,913.1182,167.2369,91.3118,15.2707,167.2369,91.3118,15.2707,913.1182,352.3076,0.0033
1,11,425,560,175,0,-0.001,1577.2516,115.5139,157.7252,18.2194,115.5139,157.7252,18.2194,1577.2516,376.1414,0.005
2,11,425,560,175,74,-14.802,1576.9465,141.4918,157.6946,22.3125,141.4918,157.6946,22.3125,1576.9465,298.2518,0.0058
3,11,425,560,175,29.6,-74,1576.5328,119.8478,157.6533,18.8944,119.8478,157.6533,18.8944,1576.5328,352.0585,0.0057
4,11,425,560,175,-44.4,-59.2,1590.7429,121.8368,159.0743,19.3811,121.8368,159.0743,19.3811,1590.7429,347.3639,0.0058
5,11,425,560,175,-74.002,14.801,1539.521,91.7546,153.9521,14.1258,91.7546,153.9521,14.1258,1539.521,459.3864,0.005
6,11,425,560,175,-29.599,74,1551.4679,104.2055,155.1468,16.1672,104.2055,155.1468,16.1672,1551.4679,409.2702,0.0046
7,11,425,560,175,44.4,59.198,1559.7476,96.9797,155.9748,15.1264,96.9797,155.9748,15.1264,1559.7476,442.5668,0.0052
8,11,425,560,175,118.4,-0.002,1559.1539,107.5377,155.9154,16.7668,107.5377,155.9154,16.7668,1559.1539,391.7175,0.0057
9,11,425,560,175,103.599,-74.001,1532.7208,110.2128,153.2721,16.8925,110.2128,153.2721,16.8925,1532.7208,370.8411,0.0059
10,11,425,560,175,44.399,-118.4,1543.5431,110.0292,154.3543,16.9835,110.0292,154.3543,16.9835,1543.5431,371.5874,0.0067
11,11,425,560,175,-44.401,-118.401,1496.551,107.9053,149.6551,16.1486,107.9053,149.6551,16.1486,1496.551,371.9031,0.0062
12,11,425,560,175,-103.601,-74,1528.3134,89.6321,152.8313,13.6986,89.6321,152.8313,13.6986,1528.3134,454.0893,0.0056
13,11,425,560,175,-118.4,0,1594.9004,142.0633,159.49,22.6577,142.0633,159.49,22.6577,1594.9004,294.3279,0.0077
14,11,425,560,175,-103.6,74,1506.0541,99.4095,150.6054,14.9716,99.4095,150.6054,14.9716,1506.0541,413.524,0.005
15,11,425,560,175,-44.4,118.401,1533.2604,95.1805,153.326,14.5936,95.1805,153.326,14.5936,1533.2604,440.0305,0.0052
16,11,425,560,175,44.4,118.4,1587.3641,136.5686,158.7364,21.6784,136.5686,158.7364,21.6784,1587.3641,309.0923,0.0068
17,11,425,560,175,103.602,73.999,1529.3723,96.8544,152.9372,14.8126,96.8544,152.9372,14.8126,1529.3723,427.8804,0.0039
1,12,350,690,175,0,0,1262.6829,128.6814,126.2683,16.2484,128.6814,126.2683,16.2484,1262.6829,327.4826,0.0075
2,12,350,690,175,74,-14.801,1225.7365,124.1813,122.5736,15.2214,124.1813,122.5736,15.2214,1225.7365,327.6692,0.0064
3,12,350,690,175,29.6,-74.001,1255.9065,124.8767,125.5906,15.6834,124.8767,125.5906,15.6834,1255.9065,327.159,0.0077
4,12,350,690,175,-44.401,-59.199,1243.5211,110.5973,124.3521,13.753,110.5973,124.3521,13.753,1243.5211,367.7591,0.0073
5,12,350,690,175,-74.001,14.801,1280.6741,115.9303,128.0674,14.8469,115.9303,128.0674,14.8469,1280.6741,360.5648,0.0079
6,12,350,690,175,-29.599,74,1254.269,125.2864,125.4269,15.7143,125.2864,125.4269,15.7143,1254.269,332.1158,0.0084
7,12,350,690,175,44.4,59.2,1250.984,115.3199,125.0984,14.4263,115.3199,125.0984,14.4263,1250.984,360.2453,0.0067
8,12,350,690,175,118.4,-0.001,1276.1816,141.6809,127.6182,18.0811,141.6809,127.6182,18.0811,1276.1816,288.0168,0.0098
9,12,350,690,175,103.601,-74.001,1249.4902,129.925,124.949,16.234,129.925,124.949,16.234,1249.4902,304.6896,0.0086
10,12,350,690,175,44.399,-118.4,1235.246,105.5023,123.5246,13.0321,105.5023,123.5246,13.0321,1235.246,371.9051,0.0075
11,12,350,690,175,-44.401,-118.399,1231.3326,122.8381,123.1333,15.1255,122.8381,123.1333,15.1255,1231.3326,316.9024,0.0082
12,12,350,690,175,-103.6,-74,1265.4224,130.389,126.5422,16.4997,130.389,126.5422,16.4997,1265.4224,306.6324,0.01
