wafer,site,time_dep,geh4,b2h6,th_sigeb,oxide,     GOF
7,23,425,690,150,197.873,9.6802,0.89129
7,24,425,690,150,196.604,9.8809,0.89007
7,25,425,690,150,196.913,9.8868,0.89181
7,26,425,690,150,197.056,9.8507,0.89084
8,1,425,690,150,199.214,9.5196,0.8916
8,2,425,690,150,198.348,9.583,0.89186
8,3,425,690,150,198.118,9.6587,0.89157
8,4,425,690,150,197.957,9.6154,0.8913
8,5,425,690,150,199.407,9.7073,0.89133
8,6,425,690,150,200.58,9.6753,0.8898
8,7,425,690,150,199.637,9.5283,0.89128
8,8,425,690,150,195.201,9.7685,0.89245
8,9,425,690,150,194.143,9.8567,0.89125
8,10,425,690,150,194.54,9.8543,0.89218
8,11,425,690,150,196.496,9.7172,0.89029
8,12,425,690,150,196.225,9.79,0.891
8,13,425,690,150,197.959,9.8747,0.89134
8,14,425,690,150,199.377,9.7811,0.88865
8,15,425,690,150,199.721,9.809,0.88812
8,16,425,690,150,197.523,9.7538,0.89096
8,17,425,690,150,195.19,9.6418,0.89161
8,18,425,690,150,199.125,9.5184,0.89131
8,19,425,690,150,199.106,9.5729,0.8917
8,20,425,690,150,199.05,9.497,0.89095
8,21,425,690,150,199.709,9.7215,0.89173
8,22,425,690,150,199.645,9.7217,0.89103
8,23,425,690,150,199.215,9.694,0.89134
8,24,425,690,150,197.616,9.8937,0.89009
8,25,425,690,150,197.979,9.859,0.89103
8,26,425,690,150,198.149,9.8424,0.88996
9,1,500,560,150,171.219,9.3213,0.88059
9,2,500,560,150,168.824,9.2898,0.88235
9,3,500,560,150,167.992,9.3826,0.88479
9,4,500,560,150,168.385,9.3533,0.883
9,5,500,560,150,170.089,9.4412,0.88419
9,6,500,560,150,171.125,9.4637,0.88526
9,7,500,560,150,170.528,9.2816,0.8829
9,8,500,560,150,165.942,9.3819,0.885
9,9,500,560,150,164.681,9.4762,0.88767
9,10,500,560,150,163.792,9.4819,0.88893
9,11,500,560,150,164.59,9.4292,0.88888
9,12,500,560,150,165.074,9.5164,0.88871
9,13,500,560,150,167.494,9.5837,0.88775
9,14,500,560,150,169.998,9.6664,0.89077
9,15,500,560,150,169.999,9.616,0.89055
9,16,500,560,150,169.034,9.4979,0.88918
9,17,500,560,150,167.333,9.3395,0.88773
9,18,500,560,150,171.255,9.3297,0.87966
9,19,500,560,150,171.207,9.3688,0.88086
9,20,500,560,150,171.27,9.3797,0.88162
9,21,500,560,150,170.124,9.4378,0.88383
9,22,500,560,150,170.211,9.4321,0.88402
9,23,500,560,150,170.043,9.4412,0.88348
9,24,500,560,150,167.26,9.6049,0.88892
9,25,500,560,150,167.57,9.5893,0.8876
9,26,500,560,150,167.687,9.5774,0.88719
10,1,500,820,150,324.651,9.5177,0.90332
10,2,500,820,150,324.836,9.5548,0.90257
10,3,500,820,150,324.289,9.6089,0.90188
10,4,500,820,150,323.051,9.5188,0.90149
10,5,500,820,150,325.471,9.6739,0.90238
10,6,500,820,150,327.638,9.7456,0.90323
10,7,500,820,150,326.633,9.55,0.9035
10,8,500,820,150,321.363,9.5655,0.89838
10,9,500,820,150,319.899,9.6231,0.89695
10,10,500,820,150,318.39,9.5666,0.8963
10,11,500,820,150,318.159,9.4704,0.89611
10,12,500,820,150,317.739,9.5313,0.89541
10,13,500,820,150,320.951,9.7599,0.89801
10,14,500,820,150,320.942,9.7003,0.89516
10,15,500,820,150,323.289,9.7635,0.89812
10,16,500,820,150,323.646,9.6401,0.89888
10,17,500,820,150,320.027,9.3668,0.89791
10,18,500,820,150,324.6,9.4834,0.90238
10,19,500,820,150,324.577,9.5883,0.90405
10,20,500,820,150,324.611,9.5069,0.90314
10,21,500,820,150,325.907,9.7,0.90266
10,22,500,820,150,325.739,9.6772,0.90292
10,23,500,820,150,325.046,9.6503,0.90233
10,24,500,820,150,320.312,9.6848,0.89677
10,25,500,820,150,321.101,9.7492,0.89832
10,26,500,820,150,321.679,9.7177,0.89767
11,1,425,560,175,170.221,10.052,0.84759
11,2,425,560,175,168.204,10.0193,0.85147
11,3,425,560,175,167.091,10.057,0.8538
11,4,425,560,175,167.122,10.0629,0.85169
11,5,425,560,175,168.461,10.1213,0.85242
11,6,425,560,175,169.599,10.1577,0.85463
11,7,425,560,175,169.464,10.0226,0.85173
11,8,425,560,175,165.893,10.004,0.85991
11,9,425,560,175,163.678,9.9432,0.86659
11,10,425,560,175,162.668,9.9428,0.86667
11,11,425,560,175,162.821,9.8704,0.86822
11,12,425,560,175,162.719,9.9728,0.86604
11,13,425,560,175,164.397,10.1248,0.86049
11,14,425,560,175,165.637,10.0314,0.86758
11,15,425,560,175,166.875,10.0366,0.86722
11,16,425,560,175,166.549,9.9406,0.8633
11,17,425,560,175,165.627,9.8118,0.86289
11,18,425,560,175,170.104,10.0742,0.84733
11,19,425,560,175,170.216,10.1402,0.84855
11,20,425,560,175,170.227,10.1031,0.84801
11,21,425,560,175,168.38,10.1203,0.85316
11,22,425,560,175,168.552,10.0993,0.85089
11,23,425,560,175,168.427,10.114,0.85198
11,24,425,560,175,164.131,10.1201,0.8625
11,25,425,560,175,164.463,10.1348,0.86103
11,26,425,560,175,164.785,10.1361,0.86069
12,1,350,690,175,184.429,9.8748,0.90254
12,2,350,690,175,183.219,9.915,0.90278
12,3,350,690,175,182.672,9.9855,0.90266
12,4,350,690,175,182.645,9.9603,0.90207
12,5,350,690,175,184.361,10.019,0.90167
12,6,350,690,175,185.253,10.0237,0.90088
12,7,350,690,175,184.55,9.8467,0.9024
12,8,350,690,175,181.271,10.104,0.90493
12,9,350,690,175,179.494,10.1351,0.90436
12,10,350,690,175,179.019,10.1481,0.9044
12,11,350,690,175,179.53,10.0902,0.90294
12,12,350,690,175,180.727,10.1145,0.90304
12,13,350,690,175,182.023,10.1747,0.90213
12,14,350,690,175,183.276,10.1591,0.90063
12,15,350,690,175,184.149,10.1035,0.89983
12,16,350,690,175,183.348,10.0513,0.90159
12,17,350,690,175,181.831,9.967,0.9032
12,18,350,690,175,184.406,9.8525,0.90248
12,19,350,690,175,184.334,9.9174,0.9022
12,20,350,690,175,184.32,9.8413,0.90157
12,21,350,690,175,184.44,10.0577,0.90235
12,22,350,690,175,184.433,10.0124,0.90117
12,23,350,690,175,184.166,10.0251,0.9027
12,24,350,690,175,181.871,10.1833,0.90248
12,25,350,690,175,182.136,10.2115,0.90262
12,26,350,690,175,182.23,10.1702,0.90197
13,1,425,820,175,292.202,9.1663,0.89238
13,2,425,820,175,291.759,9.1725,0.89074
13,3,425,820,175,291.668,9.2152,0.89002
13,4,425,820,175,290.778,9.231,0.88994
13,5,425,820,175,292.582,9.2785,0.89094
13,6,425,820,175,293.808,9.2801,0.89174
13,7,425,820,175,292.837,9.1161,0.89297
13,8,425,820,175,288.549,9.251,0.89001
13,9,425,820,175,288.634,9.2536,0.88851
13,10,425,820,175,287.597,9.2449,0.88866
13,11,425,820,175,287.6,9.2276,0.88637
13,12,425,820,175,287.92,9.2618,0.8869
13,13,425,820,175,288.812,9.3774,0.88877
13,14,425,820,175,288.758,9.3416,0.88703
13,15,425,820,175,288.931,9.3116,0.88823
13,16,425,820,175,287.662,9.1981,0.88802
13,17,425,820,175,286.416,9.1196,0.88831
13,18,425,820,175,292.218,9.1371,0.89118
13,19,425,820,175,292.142,9.2263,0.89213
13,20,425,820,175,292.18,9.1386,0.88973
13,21,425,820,175,292.972,9.284,0.89174
13,22,425,820,175,292.808,9.2962,0.89146
13,23,425,820,175,292.27,9.2772,0.89133
13,24,425,820,175,288.434,9.4141,0.88619
13,25,425,820,175,288.852,9.376,0.8879
13,26,425,820,175,289.257,9.3542,0.88889
14,1,500,690,175,259.519,8.7268,0.88819
14,2,500,690,175,257.807,8.751,0.88782
14,3,500,690,175,257.436,8.827,0.88721
14,4,500,690,175,257.183,8.8243,0.88664
14,5,500,690,175,259.134,8.8602,0.88711
14,6,500,690,175,260.255,8.8925,0.8876
14,7,500,690,175,259.461,8.7201,0.88832
14,8,500,690,175,254.12,8.9055,0.88725
14,9,500,690,175,252.424,8.9223,0.8861
14,10,500,690,175,253.313,8.9736,0.88644
14,11,500,690,175,252.893,8.8805,0.88523
14,12,500,690,175,252.887,8.9266,0.88527
14,13,500,690,175,255.043,9.0161,0.88717
14,14,500,690,175,256.317,8.9341,0.88518
14,15,500,690,175,256.622,8.9268,0.88607
14,16,500,690,175,255.149,8.8486,0.88598
14,17,500,690,175,253.716,8.7923,0.88616
14,18,500,690,175,259.429,8.7133,0.88707
14,19,500,690,175,259.453,8.7927,0.88733
14,20,500,690,175,259.439,8.7181,0.8874
14,21,500,690,175,259.362,8.8878,0.88721
14,22,500,690,175,259.297,8.8704,0.88772
14,23,500,690,175,259.027,8.8843,0.88752
14,24,500,690,175,254.832,9.0135,0.88624
14,25,500,690,175,255.162,8.9976,0.88596
14,26,500,690,175,255.484,8.9819,0.88635
15,1,425,690,150,197.956,9.6905,0.89394
15,2,425,690,150,196.561,9.7232,0.89484
15,3,425,690,150,196.079,9.831,0.89479
15,4,425,690,150,196.071,9.8243,0.89438
15,5,425,690,150,197.571,9.8277,0.89357
15,6,425,690,150,198.766,9.8569,0.89183
15,7,425,690,150,197.931,9.6956,0.89415
15,8,425,690,150,192.895,9.9616,0.89498
15,9,425,690,150,191.459,9.9804,0.89418
15,10,425,690,150,191.551,10.0448,0.89544
15,11,425,690,150,192.413,10.0173,0.89455
15,12,425,690,150,193.65,9.9505,0.89367
15,13,425,690,150,195.344,9.9868,0.89404
15,14,425,690,150,196.033,9.9571,0.89208
15,15,425,690,150,197.121,9.8914,0.89087
15,16,425,690,150,195.54,9.8878,0.89315
15,17,425,690,150,193.203,9.8615,0.89481
15,18,425,690,150,197.89,9.6823,0.89428
15,19,425,690,150,197.879,9.7376,0.89374
15,20,425,690,150,197.853,9.6945,0.89335
15,21,425,690,150,197.768,9.8552,0.89448
15,22,425,690,150,197.727,9.8432,0.89426
15,23,425,690,150,197.401,9.857,0.89437
15,24,425,690,150,195.044,9.993,0.89301
15,25,425,690,150,195.413,10.0025,0.89309
15,26,425,690,150,195.662,9.9647,0.8939
16,1,350,820,150,234.612,9.018,0.88232
16,2,350,820,150,234.112,9.0162,0.88186
16,3,350,820,150,233.763,9.1845,0.88161
16,4,350,820,150,233.233,9.1616,0.88229
16,5,350,820,150,234.866,9.1689,0.88264
16,6,350,820,150,235.813,9.1467,0.88175
16,7,350,820,150,235.146,8.979,0.88298
16,8,350,820,150,230.611,9.2715,0.88184
16,9,350,820,150,229.191,9.3451,0.87982
16,10,350,820,150,227.962,9.4103,0.88064
16,11,350,820,150,228.802,9.3852,0.88068
16,12,350,820,150,228.494,9.3225,0.87873
16,13,350,820,150,229.894,9.3715,0.8808
16,14,350,820,150,228.896,9.3628,0.87839
16,15,350,820,150,229.631,9.3221,0.87892
16,16,350,820,150,228.926,9.2514,0.88077
16,17,350,820,150,227.714,9.1847,0.88118
16,18,350,820,150,234.655,9.0425,0.88229
16,19,350,820,150,234.541,9.0911,0.88328
16,20,350,820,150,234.614,9.0232,0.88137
16,21,350,820,150,235.135,9.1964,0.8827
16,22,350,820,150,235.056,9.1589,0.88196
16,23,350,820,150,234.56,9.1559,0.88187
16,24,350,820,150,229.297,9.3606,0.88012
16,25,350,820,150,229.912,9.3629,0.8806
16,26,350,820,150,230.509,9.3365,0.88078
18,1,350,820,150,228.446,9.1394,0.882
18,2,350,820,150,228.228,9.2263,0.88109
18,3,350,820,150,228.157,9.3743,0.88159
18,4,350,820,150,227.709,9.2978,0.88255
18,5,350,820,150,229.461,9.2777,0.88145
18,6,350,820,150,230.567,9.3037,0.88103
18,7,350,820,150,229.535,9.142,0.88119
18,8,350,820,150,226.277,9.3444,0.88184
18,9,350,820,150,225.378,9.6416,0.88213
18,10,350,820,150,224.996,9.682,0.88166
18,11,350,820,150,225.889,9.5442,0.88183
18,12,350,820,150,226.963,9.5057,0.8794
18,13,350,820,150,227.654,9.4551,0.88029
18,14,350,820,150,227.983,9.5043,0.87875
18,15,350,820,150,229.177,9.4398,0.87903
18,16,350,820,150,228.004,9.48,0.88038
18,17,350,820,150,225.563,9.4523,0.88227
18,18,350,820,150,228.399,9.127,0.88081
18,19,350,820,150,228.305,9.2,0.88204
18,20,350,820,150,228.358,9.0938,0.87994
18,21,350,820,150,229.816,9.3323,0.88149
18,22,350,820,150,229.664,9.2771,0.88134
18,23,350,820,150,229.116,9.279,0.88255
18,24,350,820,150,227.467,9.4927,0.88179
18,25,350,820,150,227.671,9.5128,0.88031
18,26,350,820,150,227.944,9.4633,0.88128
